################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5604061359447314E+00 a         1     0     1     1     1
 -2.5385597400357200E+00 a         2     0     1     1     2
 -4.8280818659263031E-01 a         3     0     1     1     3
 -1.3837285457216595E+00 a         4     0     1     1     4
  2.1798443366400115E+00 a         5     0     1     1     5
 -7.8331149146763368E-01 a         6     0     1     1     6
 -8.3270105321540855E-01 a         7     0     1     1     7
  7.9371150108711874E-02 a         8     0     1     1     8
 -5.3038384567994513E-02 a         9     0     1     1     9
 -6.7467037062708757E-01 a        10     0     1     1    10
  3.1122591643779890E-01 a        11     0     1     1    11
 -3.8438053212575901E-01 a        12     0     1     1    12
 -4.8969385584213093E-01 a        13     0     1     1    13
  2.6157344314473270E+00 a        14     0     1     1    14
 -5.6987642275516970E-01 a        15     0     1     1    15
 -2.4495813267330005E-01 a        16     0     1     1    16
 -1.0295043039033858E+00 a        17     0     1     1    17
 -1.1971659079301494E-01 a        18     0     1     1    18
 -1.6552008163336629E+00 a        19     0     1     1    19
  3.2336413774400574E+00 a        20     0     1     1    20
  3.6062686555760428E+00 a        21     0     2     1     1
 -5.6963378109689362E+00 a        22     0     2     1     2
  2.8537581526306619E+00 a        23     0     2     1     3
 -7.0434874799944920E+00 a        24     0     2     1     4
 -1.1363980314115192E+00 a        25     0     2     1     5
 -3.2919226430847426E-01 a        26     0     2     1     6
  1.3905350041758235E+01 a        27     0     2     1     7
 -1.8323141413022022E+00 a        28     0     2     1     8
  1.7347182451035138E+01 a        29     0     2     1     9
 -7.2259016146247044E+00 a        30     0     2     1    10
 -1.5054324544685964E+00 a        31     0     2     1    11
 -3.9430212347642031E+00 a        32     0     2     1    12
  3.0192064499593774E+00 a        33     0     2     1    13
  4.0112191954442986E+00 a        34     0     2     1    14
 -4.7548434930546364E+00 a        35     0     2     1    15
 -5.6822300748111640E+00 a        36     0     2     1    16
 -3.4360722511835950E+00 a        37     0     2     1    17
  4.7596977373018907E+00 a        38     0     2     1    18
  2.3771800683264415E+00 a        39     0     2     1    19
 -5.2592823516910645E+00 a        40     0     2     1    20
 -3.0950894550242393E-03 a        41     0     3     1     1
  6.7955677404458692E-01 a        42     0     3     1     2
  2.4488123136920872E-01 a        43     0     3     1     3
 -1.6075230293887943E+00 a        44     0     3     1     4
 -8.5053286352394963E-01 a        45     0     3     1     5
  2.5307714704713768E-01 a        46     0     3     1     6
  3.7850776020978847E+00 a        47     0     3     1     7
  3.7058070195122181E+00 a        48     0     3     1     8
  2.5592400616272082E-01 a        49     0     3     1     9
 -6.0700242902769297E-01 a        50     0     3     1    10
  5.2103398394546319E-01 a        51     0     3     1    11
  3.0685717947583130E-01 a        52     0     3     1    12
 -1.1391118620589227E+00 a        53     0     3     1    13
 -2.3738321026461673E+00 a        54     0     3     1    14
  1.4772292649647132E+00 a        55     0     3     1    15
 -3.5682490713050762E-02 a        56     0     3     1    16
  1.1980359516854968E+00 a        57     0     3     1    17
 -1.4649900429284064E+00 a        58     0     3     1    18
 -2.8481450738272412E-01 a        59     0     3     1    19
  2.8306893830646856E-02 a        60     0     3     1    20
 -1.6672177630563209E-02 a        61     0     4     1     1
 -2.8861751655399059E-01 a        62     0     4     1     2
  1.6443088433451258E-01 a        63     0     4     1     3
  7.7257312417935264E-02 a        64     0     4     1     4
  2.0776097386541247E-02 a        65     0     4     1     5
  6.3227418709338137E-02 a        66     0     4     1     6
 -1.0496449452801058E+00 a        67     0     4     1     7
  2.0500284247706432E-01 a        68     0     4     1     8
 -3.7073761091743596E-02 a        69     0     4     1     9
  7.6162147750680684E-02 a        70     0     4     1    10
 -2.0778562741073739E-01 a        71     0     4     1    11
  4.1668489752008160E-02 a        72     0     4     1    12
  1.8437206250622878E-01 a        73     0     4     1    13
  9.3374900503535280E-02 a        74     0     4     1    14
 -4.3670638881981158E-03 a        75     0     4     1    15
  1.7307161529879184E-01 a        76     0     4     1    16
  8.0158336952111470E-02 a        77     0     4     1    17
 -1.8841383925924846E-01 a        78     0     4     1    18
  2.0338242400509912E-01 a        79     0     4     1    19
  3.3756415453238847E-02 a        80     0     4     1    20
 -4.0797900594713865E-01 a        81     0     5     1     1
 -1.6557440565598742E+00 a        82     0     5     1     2
  4.2784552881693777E-01 a        83     0     5     1     3
 -7.5010910129617955E-02 a        84     0     5     1     4
  1.5284338216680107E+00 a        85     0     5     1     5
 -1.4087875100743337E+00 a        86     0     5     1     6
 -6.5570234945002404E-01 a        87     0     5     1     7
  7.0264940166554357E-01 a        88     0     5     1     8
  4.7476045167154063E-01 a        89     0     5     1     9
 -5.4490782499465436E+00 a        90     0     5     1    10
  3.7855863142044748E+00 a        91     0     5     1    11
  1.5270134544261824E+00 a        92     0     5     1    12
 -1.2094911386019287E+00 a        93     0     5     1    13
  8.3213561465129160E-01 a        94     0     5     1    14
  3.8841935989433773E-01 a        95     0     5     1    15
 -5.1533216923489444E-01 a        96     0     5     1    16
  2.1307647196505402E+00 a        97     0     5     1    17
 -1.5017344478446859E+00 a        98     0     5     1    18
  9.7420612027783471E-01 a        99     0     5     1    19
  2.6547517504691881E-01 a       100     0     5     1    20
 -7.4408713511254931E-01 a       101     0     6     1     1
 -7.4914522135222295E-01 a       102     0     6     1     2
  7.6917019250077912E-01 a       103     0     6     1     3
 -9.6792132815721077E-01 a       104     0     6     1     4
