################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3150947082414464E-01 a         1     0     1     1     1
 -1.4576023556013806E+00 a         2     0     1     1     2
  6.5905231797273200E-01 a         3     0     1     1     3
 -1.4622192744102616E+00 a         4     0     1     1     4
  1.3899201029533339E+00 a         5     0     1     1     5
 -3.8087574188423495E-01 a         6     0     1     1     6
  1.1630789056475122E+00 a         7     0     1     1     7
  5.3205463318165291E-01 a         8     0     1     1     8
  1.2193550147385548E+00 a         9     0     1     1     9
 -1.2427979128989581E+00 a        10     0     1     1    10
  3.0697465601420970E-01 a        11     0     1     1    11
  6.1058309121374676E-01 a        12     0     1     1    12
  1.5093013189338189E-01 a        13     0     1     1    13
  1.1140410536159659E+00 a        14     0     1     1    14
  2.2885760866028599E+00 a        15     0     1     1    15
 -7.1243258712272906E-01 a        16     0     1     1    16
  4.2291464069958257E-01 a        17     0     1     1    17
  1.2223209274123075E+00 a        18     0     1     1    18
 -6.2646232498044818E-01 a        19     0     1     1    19
  3.1495943306879115E-01 a        20     0     1     1    20
 -1.7011601389153888E+00 a        21     0     2     1     1
  5.8366113310604761E-01 a        22     0     2     1     2
  4.0519395259039444E+00 a        23     0     2     1     3
  3.8629902473278563E+00 a        24     0     2     1     4
  3.1973744180498631E+00 a        25     0     2     1     5
 -6.5763295919773128E+00 a        26     0     2     1     6
 -4.2244147756065065E+00 a        27     0     2     1     7
 -1.6028094212835891E+00 a        28     0     2     1     8
  1.5649967600608530E+00 a        29     0     2     1     9
  5.2717470384590082E-01 a        30     0     2     1    10
  2.3069987412616869E-01 a        31     0     2     1    11
 -1.0117079634241939E+00 a        32     0     2     1    12
  1.4051481327618929E+00 a        33     0     2     1    13
  1.4272550062857150E+00 a        34     0     2     1    14
  6.4102053410989179E-01 a        35     0     2     1    15
 -4.6236282410465118E-01 a        36     0     2     1    16
 -3.7356724777314110E+00 a        37     0     2     1    17
 -1.4223141891828222E+00 a        38     0     2     1    18
 -4.9969164764596226E+00 a        39     0     2     1    19
  7.9797290714957711E-02 a        40     0     2     1    20
